                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3238,                 1.2042,                 1.2446,                0.75517,                 0.6238,                 0.6911,                0.37657,                 1.5012,                 1.3356,                 1.3065,             0.00066187,             0.00066187,             0.00066187
                      2,                 1.4353,                 1.2608,                 1.3144,                0.64772,                0.55666,                0.60005,                0.27532,                 1.7782,                 1.6301,                 1.5896,              0.0013022,              0.0013022,              0.0013022
                      3,                 1.4612,                 1.2198,                 1.3392,                0.61951,                0.52743,                0.57592,                0.29145,                 1.6844,                 1.6506,                 1.5064,              0.0019162,              0.0019162,              0.0019162
                      4,                 1.4325,                 1.1546,                 1.3196,                 0.6999,                0.59244,                0.65755,                  0.342,                 1.5605,                 1.5697,                   1.41,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3827,                 1.0923,                 1.3016,                0.70795,                0.54944,                0.61586,                0.32137,                 1.5581,                 1.5338,                 1.3915,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.3486,                 1.0436,                 1.2851,                0.82257,                0.71089,                0.80521,                0.49279,                 1.3085,                0.95297,                 1.2252,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.3115,                0.98627,                 1.2631,                0.81611,                0.70197,                0.79668,                0.50051,                 1.2926,                0.89193,                 1.2003,               0.001802,               0.001802,               0.001802
                      8,                 1.2853,                0.94619,                 1.2401,                0.84664,                0.72315,                0.81886,                0.51821,                 1.2483,                0.89225,                 1.1863,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.2723,                0.92712,                 1.2372,                0.84402,                0.69546,                0.80659,                0.52317,                 1.2351,                0.84091,                 1.1853,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.2443,                0.90222,                 1.2294,                0.86972,                0.74476,                0.84165,                0.53809,                 1.2178,                0.78743,                 1.1565,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.2264,                0.87466,                 1.2044,                0.88861,                0.76027,                0.86072,                 0.5824,                 1.1174,                0.74394,                 1.0968,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.2052,                0.84654,                 1.1991,                0.89174,                 0.7706,                0.86809,                0.56577,                 1.1778,                0.73998,                 1.1296,               0.001604,               0.001604,               0.001604
                     13,                 1.1945,                0.83121,                 1.1893,                0.89647,                0.76945,                0.86554,                0.57717,                 1.1048,                0.75662,                 1.0841,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.1659,                0.79418,                 1.1778,                 0.8652,                0.73094,                0.83001,                0.52767,                 1.2267,                0.84116,                 1.1533,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.1539,                0.78834,                 1.1766,                 0.9107,                0.78007,                0.87485,                0.59216,                 1.1014,                0.68836,                 1.0897,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.1434,                 0.7754,                 1.1606,                0.90093,                0.80903,                0.89154,                0.61231,                 1.0695,                0.65259,                 1.0719,              0.0014456,              0.0014456,              0.0014456
                     17,                  1.133,                0.75978,                 1.1557,                 0.8944,                  0.788,                0.87539,                0.57512,                 1.1361,                0.71879,                 1.1088,               0.001406,               0.001406,               0.001406
                     18,                 1.1184,                 0.7482,                 1.1446,                0.90196,                0.81018,                0.89839,                0.62707,                 1.0525,                0.64604,                 1.0566,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.1043,                0.74142,                 1.1433,                0.91469,                0.81212,                0.90097,                0.63304,                 1.0333,                0.59881,                 1.0493,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.1059,                0.72766,                 1.1386,                0.91364,                0.82563,                0.90651,                0.63515,                 1.0227,                0.59714,                 1.0484,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.0928,                0.72086,                 1.1323,                0.91115,                 0.8207,                0.90155,                0.63778,                  1.022,                0.60549,                 1.0294,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.0641,                0.69448,                 1.1201,                0.92143,                0.83603,                0.91018,                0.65073,                 0.9756,                0.57956,                 1.0257,               0.001208,               0.001208,               0.001208
                     23,                 1.0617,                0.68232,                 1.1106,                0.93577,                 0.8388,                0.91649,                0.67388,                0.94727,                0.54303,                0.99937,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.0459,                0.67533,                 1.1043,                0.92577,                0.82926,                0.91036,                 0.6493,                 0.9999,                0.57232,                 1.0245,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.0332,                 0.6566,                 1.0966,                0.93095,                0.84673,                0.91974,                0.67261,                 0.9486,                0.53184,                0.99263,              0.0010892,              0.0010892,              0.0010892
                     26,                   1.04,                0.66232,                 1.0996,                0.92778,                0.84833,                0.92074,                 0.6744,                0.93706,                0.54496,                0.99092,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.0127,                0.64626,                 1.0873,                0.93478,                0.83562,                0.91675,                0.66513,                0.95595,                0.54844,                0.99747,                0.00101,                0.00101,                0.00101
                     28,                 1.0212,                0.64147,                 1.0902,                0.94256,                0.85076,                0.92696,                0.68365,                0.92711,                0.51749,                0.98507,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.0044,                0.63258,                 1.0826,                0.94451,                0.85702,                0.93255,                0.69115,                0.90081,                 0.4982,                0.97033,              0.0009308,              0.0009308,              0.0009308
                     30,                0.99431,                0.62461,                 1.0752,                0.94596,                0.86128,                0.93156,                0.69553,                0.88487,                0.48627,                0.96187,              0.0008912,              0.0008912,              0.0008912
                     31,                 0.9795,                0.60422,                 1.0678,                0.93788,                0.86441,                 0.9333,                0.69371,                0.89366,                0.49201,                 0.9692,              0.0008516,              0.0008516,              0.0008516
                     32,                0.96365,                0.60298,                 1.0615,                0.94129,                0.86808,                0.93329,                0.69949,                0.88166,                0.48522,                0.96312,               0.000812,               0.000812,               0.000812
                     33,                 0.9724,                0.59555,                 1.0647,                0.94516,                0.87227,                0.93844,                0.71051,                0.86567,                0.47433,                0.95203,              0.0007724,              0.0007724,              0.0007724
                     34,                0.94739,                0.58418,                 1.0602,                0.94959,                0.87522,                0.93826,                 0.7168,                0.84184,                0.46504,                0.94645,              0.0007328,              0.0007328,              0.0007328
                     35,                0.94398,                0.57285,                 1.0531,                0.94885,                0.87731,                0.94138,                0.71461,                0.84564,                0.45651,                0.94982,              0.0006932,              0.0006932,              0.0006932
                     36,                0.93997,                0.57378,                 1.0525,                 0.9524,                0.87024,                0.94252,                0.72341,                0.81807,                0.44671,                0.93831,              0.0006536,              0.0006536,              0.0006536
                     37,                0.93034,                0.56328,                 1.0434,                0.94755,                0.88081,                0.94203,                0.72544,                0.82072,                0.44358,                0.93252,               0.000614,               0.000614,               0.000614
                     38,                0.93147,                0.56219,                 1.0442,                0.94715,                0.88008,                0.94284,                0.72178,                0.81979,                0.45723,                0.93508,              0.0005744,              0.0005744,              0.0005744
                     39,                0.90295,                0.54961,                 1.0378,                0.95734,                0.88413,                0.94773,                0.73269,                0.80247,                0.42916,                0.93482,              0.0005348,              0.0005348,              0.0005348
                     40,                0.90083,                0.54001,                 1.0291,                0.95385,                0.89497,                0.95144,                0.74534,                0.77754,                0.41274,                0.91651,              0.0004952,              0.0004952,              0.0004952
                     41,                0.85279,                0.48037,                  1.005,                0.95533,                 0.8804,                0.94279,                0.72921,                0.80761,                0.43158,                0.92463,              0.0004556,              0.0004556,              0.0004556
                     42,                 0.8328,                0.45947,                0.99302,                0.95695,                0.89012,                 0.9467,                0.74179,                0.77032,                0.41028,                0.91161,               0.000416,               0.000416,               0.000416
                     43,                0.82131,                0.45317,                0.98988,                0.95914,                0.89303,                0.94977,                0.74719,                0.76444,                0.40514,                0.90885,              0.0003764,              0.0003764,              0.0003764
                     44,                0.81374,                0.44759,                0.98589,                0.96344,                 0.8993,                0.95428,                0.75547,                 0.7493,                0.39147,                0.90337,              0.0003368,              0.0003368,              0.0003368
                     45,                0.80006,                0.44069,                0.98395,                0.96216,                0.89868,                0.95329,                0.75394,                0.75267,                 0.3896,                0.90509,              0.0002972,              0.0002972,              0.0002972
                     46,                0.79006,                 0.4321,                0.97796,                0.96252,                0.90287,                0.95505,                0.76694,                0.71561,                0.38015,                0.88925,              0.0002576,              0.0002576,              0.0002576
                     47,                0.78067,                0.42333,                0.96828,                0.96736,                0.90324,                0.95632,                0.76916,                0.71497,                0.37609,                0.88646,               0.000218,               0.000218,               0.000218
                     48,                0.77431,                0.42071,                0.96817,                0.96596,                 0.9025,                0.95553,                 0.7702,                0.70706,                0.37429,                0.88375,              0.0001784,              0.0001784,              0.0001784
                     49,                0.75782,                0.41384,                0.96186,                0.96842,                0.90178,                0.95689,                 0.7738,                0.69927,                0.36633,                 0.8826,              0.0001388,              0.0001388,              0.0001388
                     50,                0.74903,                0.40604,                 0.9564,                0.96755,                0.90284,                0.95799,                0.77472,                0.69313,                0.36487,                0.87884,               9.92e-05,               9.92e-05,               9.92e-05
